feature,importance
risk_balance_anomaly,0.5809737
newbalanceOrig,0.1740796
sender_time_gap,0.084993444
sender_balance_change,0.08370197
remaining_sender_ratio,0.03703287
newbalanceDest,0.011810082
receiver_zero_balance_anomaly,0.0054111504
hour,0.0034150516
balance_anomaly,0.0023786388
sender_balance_delta,0.0020443124
sender_balance_pct_change,0.0019083818
sender_balance_mismatch,0.0018393539
sender_balance_error,0.001405226
receiver_balance_error,0.00079442374
amount_bucket,0.0007504526
sender_zero_after,0.0006757578
amount,0.00066129793
receiver_balance_delta,0.0006497786
isFlaggedFraud,0.00063149317
oldbalanceOrg,0.00059416244
receiver_balance_pct_change,0.00055768405
risk_score,0.00046650184
risk_balance_drained,0.00044469963
receiver_zero_after,0.0002581637
oldbalanceDest,0.00025608405
type,0.0002153872
step,0.00019492066
sender_balance_ratio,0.00017414843
amount_log,0.0001665321
receiver_balance_mismatch,0.00015859518
sender_zero_before,0.00015378147
hour_sin,0.00015002677
day,0.000107514774
receiver_zero_before,9.6256976e-05
receiver_balance_change,8.1728154e-05
risk_new_receiver,6.511291e-05
receiver_growth_ratio,6.177764e-05
receiver_avg_amount,5.7436413e-05
is_morning,5.4939614e-05
sender_avg_amount,5.462204e-05
sender_amount_deviation,3.9306167e-05
week,3.87648e-05
sender_balance_exhausted,3.8750768e-05
high_risk_transaction,3.6752783e-05
receiver_time_gap,3.574123e-05
day_sin,3.2023556e-05
rapid_receiver_activity,3.1868018e-05
hour_cos,3.1630512e-05
receiver_txn_count,3.0615574e-05
day_of_week,3.0439112e-05
is_high_value,3.0069232e-05
receiver_amount_deviation,2.9555435e-05
is_afternoon,2.9280873e-05
day_cos,1.9937277e-05
is_weekend,1.4140508e-05
is_first_receiver_transaction,3.260107e-06
is_night,7.8233927e-07
negative_balance_flag,0.0
sender_txn_count,0.0
is_first_sender_transaction,0.0
rapid_sender_activity,0.0
is_evening,0.0
risk_large_transaction,0.0
risk_rapid_activity,0.0
risk_first_transaction,0.0
risk_high_balance_usage,0.0
